Device MAC ID : 0005B94238A0	Device SwVersion : 6.0.00.181	Service Area : DeviceSpecific_0005B94238A0	Deviation check Date-Time : 20220213-143956	
Gold Standard Attribute	Deviation From GSV	Gold Standard Value	Device Configured Value
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_MFBISupport	ANC	"true"	
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_IdleLoadBalance	ANC	"true"	
Device.Services.FAPService.1.FAPControl.LTE.Gateway.SecGWServer1	Yes	"10.201.2.102"	"10.197.11.26"
Device.Services.FAPService.1.FAPControl.LTE.Gateway.SecGWServer2	Yes	"10.201.12.1"	"10.2.212.38"
Device.Services.FAPService.1.FAPControl.LTE.Gateway.SecGWServer3	ANC	"10.201.12.2"	
Device.Services.FAPService.1.FAPControl.LTE.Gateway.S1SigLinkServerList	Yes	"10.207.50.227"	"10.208.198.71"
Device.Services.FAPService.1.FAPControl.LTE.Gateway.S1ConnectionMode	ANC	"All"	
Device.Services.FAPService.1.FAPControl.LTE.Gateway.S1SigLinkPort	No	"36412"	"36412"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_SelfConfig.TACSelfConfigEnable	Yes	"true"	"false"
Device.Services.FAPService.1.AccessMgmt.LTE.AccessMode	ANC	"All"	
Device.Services.FAPService.1.REM.UMTS.WCDMA.UARFCNDLList	Yes	"500"	"4457"
Device.Services.FAPService.1.REM.LTE.ScanPeriodically	ANC	"true"	
Device.Services.FAPService.1.REM.LTE.PeriodicInterval	ANC	"0"	
Device.Services.FAPService.1.REM.LTE.PeriodicTime	ANC	"2018-04-30T00:00:00Z"	
Device.Services.FAPService.1.REM.LTE.REMPLMNList	ANC	"10"	
Device.Services.FAPService.1.REM.LTE.REMBandList	ANC	"100"	
Device.Services.FAPService.1.REM.LTE.EUTRACarrierARFCNDLList	ANC	"500"	
Device.Services.FAPService.1.CellConfig.LTE.EPC.TAC	Yes	"1111"	"1"
Device.Services.FAPService.1.CellConfig.LTE.EPC.EAID	ANC	"200"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Common.CellIdentity	ANC	"300"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Common.X_0005B9_CellMode	No	"eNB"	"eNB"
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.FreqBandIndicator	ANC	"0"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.EARFCNUL	Yes	"26665"	"18750"
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.EARFCNDL	Yes	"8665"	"750"
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.DLBandwidth	Yes	"25,75,100"	"50"
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.ULBandwidth	Yes	"25"	"50"
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.PhyCellID	Yes	"300..316"	"87"
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.X_0005B9_MaxTxPower	Yes	"0"	"19"
Device.Services.FAPService.1.CellConfig.LTE.RAN.PHY.PRACH.RootSequenceIndex	Yes	"738,0,837,12"	"187"
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_PriorityMetricMethod	ANC	"QoS"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_MaxDLUePerTTI	ANC	"8"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_MaxULUePerTTI	ANC	"8"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_MaxGbrDLUePerTTI	ANC	"8"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_MaxGbrULUePerTTI	ANC	"8"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_MaxGbrDlBitsPerSec	ANC	"5"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_MaxGbrUlBitsPerSec	ANC	"10"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.X_0005B9_MaxGbrBearers	ANC	"160"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.CellBarred	ANC	"true"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.CellReservedForOperatorUse	ANC	"true"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.BarringForEmergency	ANC	"true"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.X_0005B9_CSFBMODE	ANC	"CSFB"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.X_0005B9_cSFBDUALReceiveENABLE	ANC	"true"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.X_0005B9_EmergencyExcessFactor	ANC	"2"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_CellParam.ReferenceCellID	ANC	"5"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.Sid	ANC	"4139"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.Nid	ANC	"1"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.MultipleNid	No	"1"	"1"
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.MultipleSid	Yes	"1"	"0"
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.HomeReg	No	"1"	"1"
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.ForeignSidReg	ANC	"1"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.ForeignNidReg	ANC	"1"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.PacketZoneId	ANC	"1"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.RegZone	ANC	"1"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.TotalZone	ANC	"7"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.ZoneTimer	ANC	"7"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.CDMA2000.X_0005B9_Mobility_SIB8_Parameters.PrefMSIDType	ANC	"1"	
Device.Services.FAPService.1.X_0005B9_LTE.TACList	Yes	"100,200"	"1"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_EnableDlReuse	No	"true"	"true"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_EnableUlReuse	No	"true"	"true"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_ReuseFactorDl	Yes	"4"	"2"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_ReuseFactorUl	Yes	"4"	"2"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_SelfConfig.TACPolicy	ANC	"1"	
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_SelfConfig.AutoTxPowerEnable	Yes	"true"	"false"
Device.Services.FAPService.1.REM.UMTS.GSM.ARFCNList	ANC	"24,25,26,27,30,31,32,33,40,41,42,43,50,51,52,53,54,101,102,103"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.X_0005B9_Imax	Yes	"0"	"-60"
Device.Services.FAPService.1.CellConfig.LTE.RAN.RF.X_0005B9_Imargin	ANC	"0"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_MODataBarringFactor	ANC	"95"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_MOSigBarringFactor	ANC	"95"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_MODataBarringTime	ANC	"4"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_MOSigBarringTime	ANC	"4"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_MODataBarringForSpecialAC	ANC	"00000---"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_MOSigBarringForSpecialAC	ANC	"00000---"	
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_minSirThr	Yes	"99"	"15"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_maxSirThr	Yes	"99"	"40"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_numRpInMaxQsv	Yes	"32"	"8"
Device.Services.FAPService.1.FAPControl.LTE.Gateway.X_0005B9_SecGW2Server1	Yes	"10.201.2.105"	"10.197.11.24"
Device.Services.FAPService.1.FAPControl.LTE.Gateway.X_0005B9_SecGW2Server2	Yes	"10.201.2.106"	"10.2.212.39"
Device.Services.FAPService.1.FAPControl.LTE.Gateway.X_0005B9_SecGW2Server3	ANC	"10.201.2.107"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Common.X_0005B9_CellName	Yes	"Cell1"	"DXE70257_9R_1_B1"
Device.Services.FAPService.1.CellConfig.LTE.RAN.S1AP.X_0005B9_eNBName	Yes	"enodeb name"	"DXE70257"
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_cellLock	ANC	"Clear"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.CellRestriction.X_0005B9_guardTimer	ANC	"0"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.X_0005B9_csfbPrefRat	ANC	"GSM"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.Mobility.X_0005B9_iRatPsRedirection	ANC	"true"	
Device.Services.FAPService.1.Capabilities.LTE.X_0005B9_MaxNumX2	ANC	"1"	
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_X2Enable	Yes	"true"	"false"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_numConfiguredSPSProcess	No	"1"	"1"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_spsMcsOverride	Yes	"9"	"8"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_maxSPSDL	No	"2"	"2"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_maxSPSUL	No	"2"	"2"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_explicitlyReleaseAfter	No	"4"	"4"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_SelfConfig.X2TriggeredPciReconfigAllowed	ANC	"true"	
Device.Services.FAPService.1.CellConfig.LTE.RAN.MAC.ULSCH.X_0005B9_qci1MaxHARQ-Tx	Yes	"8"	"3"
Device.Services.FAPService.1.FAPControl.LTE.X_0005B9_downlinkCaEnable	No	"true"	"true"
Device.Services.FAPService.1.FAPControl.LTE.Gateway.X_0005B9_EnableDUALTunnel	Yes	"false"	"true"
Device.Services.FAPService.1.AccessMgmt.LTE.HNBName	ANC	"commscope"	
Device.Services.FAPService.1.X_0005B9_ExpressREM.LTE.PCIListLength	ANC	"4"	
