
Site Location	gNBId	Device Type	DeviceID	Attribute	Deviation: Yes, No, ANC, ANA	GSValue	DMS Value
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/arfcnUL	Yes	"12,13,14"	"106"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/bSChannelBwDL	Yes	"100"	"106"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/bSChannelBwUL	Yes	"100"	"2"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/cellLocalId	Yes	"11..20"	"105"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/commscope_3gpp-nr-nrm-nrcelldu:PrachConfig/X0005B9_prachRootSequenceIndex	Yes	"12"	"202"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/commscope_3gpp-nr-nrm-nrcelldu:X0005B9_NRFreqBandDL	Yes	"50"	"104"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/nRPCI	Yes	"123"	"1007"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/_3gpp-nr-nrm-nrcelldu:NRCellDU[1]/attributes/pLMNInfoList[100 50]	Yes	{mcc:"100",mnc:"50",commscope_3gpp-nr-nrm-nrcelldu:X0005B9_enable:"true",commscope_3gpp-nr-nrm-nrcelldu:X0005B9_isPrimary:"true"}	[{mcc:"311",mnc:"280",commscope_3gpp-nr-nrm-nrcelldu:X0005B9_enable:"true",commscope_3gpp-nr-nrm-nrcelldu:X0005B9_isPrimary:"true"}]
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbdufunction:GNBDUFunction[1]/attributes/gNBId	Yes	"1016"	"2051"
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[1]/commscope_3gpp-nr-nrm-nrcelldu:X0005B9_whitelist[X0005B9_cellId]/X0005B9_ruserialNumber	ANC	"0005B95264A1"	
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[2]/commscope_3gpp-nr-nrm-nrcelldu:X0005B9_whitelist[X0005B9_cellId]/X0005B9_ruserialNumber	ANC	"0005B95264A2"	
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[3]/commscope_3gpp-nr-nrm-nrcelldu:X0005B9_whitelist[X0005B9_cellId]/X0005B9_ruserialNumber	ANC	"0005B95264A3"	
Automation_Venue	2051	DU	ipsec2-2051du1	_3gpp-common-managed-element:ManagedElement[4]/commscope_3gpp-nr-nrm-nrcelldu:X0005B9_whitelist[X0005B9_cellId]/X0005B9_ruserialNumber	ANC	"0005B95264A4"	
